rootX,rootY,rootZ
-0.396966,23.4198,9.97342
0.303321,18.0537,7.37593
0.64741,-4.41902,-2.30632
0.685628,2.10287,0.0874976
0.197837,2.28103,-0.220463
-1.11075,1.84458,-0.279658
-2.04206,0.880336,-0.263752
-1.62807,0.00175245,-0.307066
-0.512388,-0.896589,-0.173849
0.559389,-1.80467,0.168531
1.17384,-2.22337,0.698569
0.996269,-1.81014,1.26685
-0.201568,-0.97311,1.68054
-1.39769,-0.360935,1.17231
-0.893978,-0.0937076,-0.760719
0.376627,0.00514538,-2.18661
0.556003,-0.0318945,-1.2958
-0.031102,0.0362546,0.680314
-0.0676718,0.41846,1.30382
0.515856,1.01436,0.402623
0.843152,1.75279,-0.144476
0.563528,1.81986,0.312038
0.342345,0.363287,0.884497
0.47963,-1.75885,0.793632
0.562721,-3.18644,0.0206734
0.721111,-2.98939,-0.762604
0.575149,-1.1124,-1.05127
-0.0170941,0.618453,-0.900193
0.045315,0.740147,-0.570951
0.871347,0.0595004,-0.310375
0.931501,-0.049206,-0.281389
-0.502963,0.505486,-0.486461
-2.26784,0.798257,-0.705872
-3.15579,0.689275,-0.718304
-2.74195,0.641194,-0.406968
-1.18553,0.691271,0.180435
0.72636,0.660368,0.801962
1.86082,0.221417,1.15095
1.72991,-0.648459,1.06075
0.972254,-1.06212,0.688901
0.36579,-0.336504,0.355325
0.0931011,0.28657,0.146653
0.00057295,-0.281335,-0.0588309
-0.00931511,-1.04809,-0.260001
0.000847505,-0.762292,-0.396139
-8.88179e-15,0.232041,-0.412295
-8.88179e-15,0.760397,-0.284142
-8.88179e-15,0.598776,-0.144011
-8.88179e-15,0.269444,-0.0744593
-8.88179e-15,0.0916304,-0.0673451
-8.88179e-15,0.0120402,-0.126906
-8.88179e-15,-0.0106394,-0.131881
-8.88179e-15,0.00087619,0.0061297
-8.88179e-15,0,0.20114
0.00339752,0,0.337064
-0.0409553,0,0.353707
0.0380145,0,0.200399
0.420869,0,-0.139915
1.01466,0,-0.609912
1.70793,0,-1.17952
1.86132,0,-1.68264
0.829555,0,-1.74217
-0.829559,0,-1.1308
-1.86051,0,-0.124226
-1.72402,0,0.624891
-0.932151,0,0.823286
-0.400431,0,0.718224
-0.554924,0,0.578663
-0.97716,0,0.545981
-1.27771,0,0.57698
-0.847605,0,0.666492
0.878278,-0.00337437,1.0689
2.691,0.0439898,1.47184
2.69015,-0.0742064,0.989705
0.890986,-0.42301,-0.245976
-0.887424,-0.558372,-1.33057
-1.35479,-0.277301,-2.1037
-0.880022,0.904996,-2.34773
-0.365252,2.70181,-1.93862
-0.1024,3.09554,-1.4669
0.000291099,0.846953,-0.922125
0.00931049,-2.67186,0.0548082
-0.000847208,-4.5091,1.32649
0,-3.11822,2.05895
0,0.00144392,1.86792
0,2.41824,1.26736
0,3.32658,0.645404
0,2.83966,0.405548
0,1.20627,0.949937
0,-0.737697,2.00266
0,-1.86347,2.438
0,-1.72503,1.51594
0,-0.970001,-0.136268
0,-0.370617,-1.33319
0,-0.0929357,-1.62924
0,0.00177622,-1.33861
0,0.00877978,-0.936071
0,-0.000816585,-0.693034
-0.00339763,-0.00337512,-0.490751
0.0409571,0.0406266,-0.213077
-0.0346238,-0.0370652,0.195001
-0.465231,-0.41846,0.795688
-0.935647,-1.01779,1.34096
-1.32504,-1.71118,1.67432
-1.26764,-1.85752,1.68087
-0.136327,-0.827676,0.881579
0.983087,0.829855,-0.626783
0.828752,1.86069,-1.72986
0.0614215,1.72367,-1.70622
-0.0578244,0.924466,-1.01198
0.505703,0.484065,-0.33446
0.840601,0.398667,0.0889088
0.604483,0.215272,0.193109
0.30433,0.0872278,-0.169663
0.0553637,-0.537116,-0.736536
-0.41099,-1.18509,-1.02934
-1.02479,-0.630799,-1.26386
-1.70364,0.631523,-1.85251
-1.90236,1.17137,-2.33844
-0.791572,0.603038,-1.78647
1.24711,-0.135994,-0.126377
2.91608,-0.331662,1.55003
3.39048,-0.186174,2.30662
2.41357,-0.0825913,2.1511
0.180791,-0.0175983,1.6659
