rootX,rootY,rootZ
0.00652354,-1.00865,-0.423405
0.00517152,0.149325,0.0610261
0.0233643,0.0289762,-0.000916329
0.0446445,0.0722495,-0.00213619
0.0633439,0.142348,-0.00617723
0.0507571,0.215151,-0.0160601
-0.00686946,0.259777,-0.0241224
-0.0727624,0.273849,-0.0338346
-0.107988,0.259799,-0.0428723
-0.106968,0.214629,-0.0432328
-0.0755616,0.14465,-0.0297684
-0.0371032,0.0745232,0.00358451
-0.0186041,0.0283015,0.0522385
-0.0498156,0.00789881,0.106082
-0.0966336,0.000898839,0.117993
-0.102263,-0.00032425,0.0606998
-0.0805963,0,-0.00652894
-0.0721681,-0.00135005,-0.015452
-0.0782718,0.00545025,0.0270977
-0.0712268,0.028776,0.0575872
-0.0459973,0.0736243,0.0562566
-0.0203138,0.1383,0.0567706
-0.00822806,0.180527,0.078355
0.00551603,0.156049,0.109559
0.0237036,0.0702999,0.124768
0.0432873,-0.039973,0.11062
0.0688535,-0.113072,0.078571
0.0782719,-0.115177,0.0450264
0.0735211,-0.086375,0.0205277
0.0874653,-0.0737736,0.00635103
0.124275,-0.0779027,-0.00245201
0.135767,-0.0711996,-0.0146617
0.0873354,-0.0461004,-0.0350187
-0.00686941,-0.0215489,-0.0595986
-0.10968,5.96047e-07,-0.0795988
-0.17804,0.0218985,-0.0839809
-0.185248,0.0450013,-0.0672896
-0.137202,0.0619481,-0.0332989
-0.0735191,0.0562504,0.00507243
-0.0285357,0.0233251,0.0345365
-0.007883,-0.0045988,0.0510923
-0.00101401,-2.98024e-07,0.0592997
0.00033902,0.00424862,0.0610486
1.86265e-08,-0.0205234,0.0555259
1.86265e-08,-0.0562496,0.0444335
1.86265e-08,-0.0647504,0.0303793
1.86265e-08,-0.0446508,0.0183316
1.86265e-08,-0.0205493,0.0116283
1.86265e-08,-0.0067997,0.00808256
1.86265e-08,-0.00145197,0.00599167
1.86265e-08,0.000350476,0.00302192
1.86265e-08,0,-0.00191879
1.86265e-08,0,-0.00443878
1.86265e-08,0,-0.000941624
1.86265e-08,0,0.00838735
1.86265e-08,0,0.0202344
-0.00135899,0,0.030144
0.00551006,0,0.0316284
0.0288746,0,0.0193797
0.0735208,0,-0.00991383
0.136865,0,-0.0582291
0.18626,0,-0.117433
0.18626,0,-0.167722
0.136864,0,-0.188986
